state,year,Bodycam_Policy,total_kills
VT,2015,0.0,1
VT,2016,0.0,2
VT,2017,0.0,1
VT,2018,0.0,2
VT,2019,0.0,4
VT,2020,0.0,1
VT,2021,0.0,2
VT,2022,0.0,2
VT,2023,0.0,1
VT,2024,0.0,1
WA,2013,0.0,29
WA,2014,0.0,33
WA,2015,0.0,19
WA,2016,0.0,27
WA,2017,0.0,41
WA,2018,0.0,27
WA,2019,0.0,41
WA,2020,0.0,36
WA,2021,0.0,14
WA,2022,0.0,41
WA,2023,0.0,24
WA,2024,0.0,29
WI,2013,0.0,15
WI,2014,0.0,10
WI,2015,0.0,12
WI,2016,0.0,17
WI,2017,0.0,26
WI,2018,0.0,13
WI,2019,0.0,19
WI,2020,0.0,19
WI,2021,0.0,12
WI,2022,0.0,14
WI,2023,0.0,23
WI,2024,0.0,19
WV,2013,0.0,10
WV,2014,0.0,8
WV,2015,0.0,11
WV,2016,0.0,12
WV,2017,0.0,12
WV,2018,0.0,7
WV,2019,0.0,13
WV,2020,0.0,6
WV,2021,0.0,6
WV,2022,0.0,14
WV,2023,0.0,15
WV,2024,0.0,8
WY,2013,0.0,1
WY,2014,0.0,3
WY,2015,0.0,6
WY,2016,0.0,2
WY,2017,0.0,1
WY,2018,0.0,4
WY,2019,0.0,2
WY,2020,0.0,4
WY,2021,0.0,3
WY,2022,0.0,11
WY,2023,0.0,1
WY,2024,0.0,5
